TIMEDATE;Open;Close;High;Low;Volume
2021.08.13 00:01;6490.0;6429.5;6512.0;6406.0;18064
2021.08.16 00:01;6400.0;6495.5;6503.0;6369.5;18757
2021.08.17 00:01;6475.0;6567.5;6615.0;6441.5;30070
2021.08.18 00:01;6605.0;6445.0;6615.0;6444.5;26187
2021.08.19 00:01;6401.0;6332.0;6424.5;6255.0;37580
2021.08.20 00:01;6315.0;6339.5;6348.0;6262.5;17517
2021.08.23 00:01;6394.0;6475.5;6489.0;6371.0;21187
2021.08.24 00:01;6500.0;6488.0;6521.5;6408.0;18449
2021.08.25 00:01;6462.0;6431.0;6483.0;6420.5;12594
2021.08.26 00:01;6420.0;6343.5;6430.0;6308.0;18718
2021.08.27 00:01;6373.0;6429.5;6443.0;6325.5;22470
2021.08.30 00:01;6445.0;6439.0;6471.5;6403.5;18588
2021.08.31 00:01;6438.0;6409.0;6449.0;6392.5;2196
